hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
West Mercy Hospital,2024-07-01,2.0.0,West Mercy Hospital|West Mercy Surgical Center,"12 Main Street, Fullerton, CA  92832|23 Ocean Ave, San Jose, CA 94088",50056,true,,,,,,,,,,,,,,,,,,,
description,code|1 ,code|1|type,code|2 ,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|Platform_Health_Insurance|PPO|negotiated_dollar,standard_charge|Platform_Health_Insurance|PPO|negotiated_percentage,standard_charge|Platform_Health_Insurance|PPO|negotiated_algorithm,estimated_amount|Platform_Health_Insurance|PPO,standard_charge|Platform_Health_Insurance|PPO|methodology,additional_payer_notes|Platform_Health_Insurance|PPO,standard_charge|Region_Health_Insurance|HMO|negotiated_dollar,standard_charge|Region_Health_Insurance|HMO|negotiated_percentage,standard_charge|Region_Health_Insurance|HMO|negotiated_algorithm,estimated_amount|Region_Health_Insurance|HMO,standard_charge|Region_Health_Insurance|HMO|methodology,additional_payer_notes|Region_Health_Insurance|HMO,standard_charge|min,standard_charge|max,additional_generic_notes
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,175869,LOCAL,,inpatient,,,,,20000.00,,MS-DRG,22243.34,case rate,,,50,,23145.98,percent of total billed charges,,20000.00,20000.00,
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,175869,LOCAL,,inpatient,,,,,20000.00,,https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/html/images/OP.jpg,22243.34,case rate,,,50,,23145.98,percent of total billed charges,,20000.00,20000.00,
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,175869,LOCAL,,inpatient,,,,,20000.00,,The adjusted base rate indicated (in dollars) may be further adjusted for transfers and outliers.,22243.34,case rate,,,50,,23145.98,percent of total billed charges,,20000.00,20000.00,
"Evaluation of hearing function to determine candidacy for, or postoperative status of, surgically implanted hearing device; first hour",92626,CPT,,,,outpatient,,,150.00,125.00,98.98,,,,fee schedule,110% of the Medicare fee schedule,,115,,105.34,fee schedule,115% of the state's workers' compensation amount,98.98,98.98,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem",H0017,HCPCS,,,,inpatient,,,2500.00,2250.00,1500.00,,,,per diem,,,,,,,,1500.00,1500.00,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 1-3",H0017,HCPCS,,,,inpatient,,,2500.00,2250.00,,,,,,,2000.00,,,,per diem,,2000.00,2000.00,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 4-5",H0017,HCPCS,,,,inpatient,,,2500.00,2250.00,,,,,,,1800.00,,,,per diem,,1800.00,1800.00,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 6+",H0017,HCPCS,,,,inpatient,,,2500.00,2250.00,,,,,,,1200.00,,,,per diem,,1200.00,1200.00,
